index,start_time,mode,map,place,duration,nickname,legend,skin,kills,assists,knocks,damage,time_survived,revive_given,respawn_given
0,2023-02-23 23:01:00,ranked,worlds_edge,10,15.0,AetherealTea,wattson,haute_drop,1,0,2,607,824,0,0
0,2023-02-23 23:01:00,ranked,worlds_edge,10,15.0,SussYandereT,lifeline,,0,1,0,556,824,1,0
0,2023-02-23 23:01:00,ranked,worlds_edge,10,15.0,lovebatsTTV,catalyst,,0,0,0,322,824,0,0
1,2023-02-23 23:39:00,ranked,worlds_edge,9,6.0,AetherealTea,wattson,dire_wolf,1,0,3,720,304,0,0
1,2023-02-23 23:39:00,ranked,worlds_edge,9,6.0,YouTube-Ruse,horizon,,3,0,3,406,279,0,0
1,2023-02-23 23:39:00,ranked,worlds_edge,9,6.0,Unknown,octane,,1,1,1,799,305,1,0
2,2023-02-24 09:55:00,,,30,1.0,AetherealTea,wattson,electric_camo,0,0,1,147,56,0,0
2,2023-02-24 09:55:00,,,30,1.0,NiFaLeM,fuse,,0,0,0,121,57,0,0
3,2023-02-24 09:56:00,duos,broken_moon,30,3.0,AetherealTea,wattson,dire_wolf,0,0,1,104,62,0,0
3,2023-02-24 09:56:00,duos,broken_moon,30,3.0,NiFaLeM,fuse,,0,0,0,46,62,0,0
4,2023-02-24 09:59:00,duos,broken_moon,14,5.0,AetherealTea,wattson,kawaii_kitty,0,0,0,36,200,0,0
4,2023-02-24 09:59:00,duos,broken_moon,14,5.0,NiFaLeM,fuse,,0,0,0,87,200,0,0
5,2023-02-24 10:04:00,duos,worlds_edge,9,7.0,AetherealTea,wattson,lightning_spirit,1,1,2,630,355,0,0
5,2023-02-24 10:04:00,duos,worlds_edge,9,7.0,NiFaLeM,fuse,,1,0,1,50,354,0,0
6,2023-02-24 10:11:00,duos,worlds_edge,20,4.0,AetherealTea,wattson,haute_drop,1,0,2,300,110,0,0
6,2023-02-24 10:11:00,duos,worlds_edge,20,4.0,NiFaLeM,fuse,,0,0,0,-1,110,0,0
7,2023-02-24 10:15:00,duos,worlds_edge,7,11.0,AetherealTea,wraith,,3,0,3,611,592,0,1
7,2023-02-24 10:15:00,duos,worlds_edge,7,11.0,Unknown,fuse,,0,1,0,203,592,1,0
8,2023-02-24 10:26:00,,worlds_edge,29,3.0,AetherealTea,wraith,,0,0,0,50,-1,0,0
8,2023-02-24 10:26:00,,worlds_edge,29,3.0,NiFaLeM,fuse,,0,0,0,57,59,0,0
9,2023-02-24 10:29:00,duos,worlds_edge,28,3.0,AetherealTea,wraith,,0,0,0,93,102,0,0
9,2023-02-24 10:29:00,duos,worlds_edge,28,3.0,NiFaLeM,fuse,,0,0,0,136,102,0,0
10,2023-02-24 10:32:00,duos,worlds_edge,24,2.0,AetherealTea,wraith,,0,0,0,125,67,0,0
10,2023-02-24 10:32:00,duos,worlds_edge,24,2.0,NiFaLeM,fuse,,0,0,0,102,93,0,0
11,2023-02-24 10:35:00,duos,worlds_edge,18,5.0,AetherealTea,wraith,,2,0,3,412,236,1,0
11,2023-02-24 10:35:00,duos,worlds_edge,18,5.0,NiFaLeM,fuse,,0,2,0,-1,237,0,0
12,2023-02-24 10:41:00,duos,worlds_edge,13,5.0,AetherealTea,wraith,,2,1,2,516,231,0,0
12,2023-02-24 10:41:00,duos,worlds_edge,13,5.0,NiFaLeM,fuse,,1,2,2,384,230,0,0
13,2023-02-24 10:46:00,duos,worlds_edge,3,17.0,AetherealTea,wraith,,4,0,4,965,914,0,0
13,2023-02-24 10:46:00,duos,worlds_edge,3,17.0,NiFaLeM,fuse,,0,2,0,243,855,0,0
14,2023-02-24 11:03:00,,worlds_edge,29,2.0,AetherealTea,wraith,,0,0,0,69,46,0,0
14,2023-02-24 11:03:00,,worlds_edge,29,2.0,NiFaLeM,fuse,,-1,0,0,185,62,0,0
15,2023-02-24 11:06:00,duos,worlds_edge,12,7.0,AetherealTea,wraith,,0,0,0,150,375,0,0
15,2023-02-24 11:06:00,duos,worlds_edge,12,7.0,NiFaLeM,fuse,,0,0,0,26,294,0,0
16,2023-02-25 09:13:00,trios,worlds_edge,14,4.0,AetherealTea,wraith,,0,0,0,105,98,0,0
16,2023-02-25 09:13:00,trios,worlds_edge,14,4.0,NiFaLeM,fuse,,0,0,1,17,98,0,0
16,2023-02-25 09:13:00,trios,worlds_edge,14,4.0,ksyron,catalyst,,0,0,1,200,98,0,0
17,2023-02-25 09:17:00,trios,worlds_edge,9,5.0,AetherealTea,wraith,,1,0,2,220,231,0,0
17,2023-02-25 09:17:00,trios,worlds_edge,9,5.0,Unknown,fuse,,0,1,0,128,232,0,0
17,2023-02-25 09:17:00,trios,worlds_edge,9,5.0,ksyron,catalyst,,0,1,0,179,232,0,0
18,2023-02-25 09:22:00,trios,worlds_edge,20,3.0,AetherealTea,wraith,,0,0,0,4,52,0,0
18,2023-02-25 09:22:00,trios,worlds_edge,20,3.0,ksyron,catalyst,,0,0,0,13,52,0,0
18,2023-02-25 09:22:00,trios,worlds_edge,20,3.0,NiFaLeM,fuse,,0,0,0,0,51,0,0
19,2023-02-25 09:25:00,trios,worlds_edge,5,14.0,AetherealTea,wattson,electric_camo,2,0,2,553,739,1,0
19,2023-02-25 09:25:00,trios,worlds_edge,5,14.0,NiFaLeM,fuse,,-1,1,0,241,115,1,0
19,2023-02-25 09:25:00,trios,worlds_edge,5,14.0,ksyron,catalyst,,2,0,2,614,735,1,0
20,2023-02-25 09:39:00,trios,worlds_edge,14,7.0,AetherealTea,wattson,dire_wolf,0,0,1,344,318,0,0
20,2023-02-25 09:39:00,trios,worlds_edge,14,7.0,ksyron,catalyst,,-1,0,0,87,318,0,0
20,2023-02-25 09:39:00,trios,worlds_edge,14,7.0,NiFaLeM,fuse,,0,0,1,293,318,0,0
21,2023-02-25 09:46:00,trios,worlds_edge,6,10.0,AetherealTea,wattson,kawaii_kitty,2,2,2,413,532,1,0
21,2023-02-25 09:46:00,trios,worlds_edge,6,10.0,ksyron,catalyst,,3,2,4,764,533,0,0
21,2023-02-25 09:46:00,trios,worlds_edge,6,10.0,NiFaLeM,fuse,,0,1,0,302,532,0,0
22,2023-02-25 09:58:00,trios,worlds_edge,11,5.0,AetherealTea,wattson,lightning_spirit,1,0,1,224,193,1,0
22,2023-02-25 09:58:00,trios,worlds_edge,11,5.0,ksyron,catalyst,,0,0,0,139,192,0,0
22,2023-02-25 09:58:00,trios,worlds_edge,11,5.0,NiFaLeM,fuse,,0,0,0,85,194,0,0
23,2023-02-25 10:03:00,ranked,broken_moon,3,16.0,AetherealTea,wattson,haute_drop,2,1,2,398,111,0,0
23,2023-02-25 10:03:00,ranked,broken_moon,3,16.0,NiFaLeM,fuse,,1,0,1,493,910,0,0
23,2023-02-25 10:03:00,ranked,broken_moon,3,16.0,ksyron,catalyst,,2,2,2,962,111,2,0
24,2023-02-25 10:22:00,ranked,broken_moon,7,13.0,AetherealTea,wattson,electric_camo,2,1,3,626,111,2,0
24,2023-02-25 10:22:00,ranked,broken_moon,7,13.0,Unknown,catalyst,,3,1,3,818,704,0,0
24,2023-02-25 10:22:00,ranked,broken_moon,7,13.0,NiFaLeM,fuse,,0,1,0,209,686,0,0
25,2023-02-25 10:41:00,ranked,broken_moon,13,7.0,AetherealTea,wattson,dire_wolf,0,0,1,371,307,1,0
25,2023-02-25 10:41:00,ranked,broken_moon,13,7.0,NiFaLeM,fuse,,0,0,0,82,307,2,0
25,2023-02-25 10:41:00,ranked,broken_moon,13,7.0,ksyron,valkyrie,,0,0,1,70,306,0,0
26,2023-02-25 10:48:00,ranked,broken_moon,8,10.0,AetherealTea,wattson,kawaii_kitty,2,0,3,628,525,1,0
26,2023-02-25 10:48:00,ranked,broken_moon,8,10.0,ksyron,valkyrie,,2,0,3,2,526,0,0
26,2023-02-25 10:48:00,ranked,broken_moon,8,10.0,NiFaLeM,fuse,,0,1,1,-1,526,0,0
27,2023-02-25 10:59:00,ranked,broken_moon,15,4.0,AetherealTea,wattson,lightning_spirit,-1,0,0,0,139,0,0
27,2023-02-25 10:59:00,ranked,broken_moon,15,4.0,ksyron,valkyrie,,1,0,2,403,186,0,0
27,2023-02-25 10:59:00,ranked,broken_moon,15,4.0,NiFaLeM,fuse,,0,0,0,61,187,0,0
28,2023-02-27 09:20:00,trios,broken_moon,7,8.0,AetherealTea,wraith,,0,1,1,549,411,0,0
28,2023-02-27 09:20:00,trios,broken_moon,7,8.0,NiFaLeM,fuse,,2,0,2,362,410,1,0
28,2023-02-27 09:20:00,trios,broken_moon,7,8.0,ksyron,valkyrie,,3,1,3,49,411,2,0
29,2023-02-27 09:29:00,trios,broken_moon,14,4.0,AetherealTea,wattson,lightning_spirit,0,0,1,327,203,0,0
29,2023-02-27 09:29:00,trios,broken_moon,14,4.0,NiFaLeM,fuse,,0,0,0,68,203,1,0
29,2023-02-27 09:29:00,trios,broken_moon,14,4.0,ksyron,valkyrie,,0,0,0,150,188,0,0
30,2023-02-27 09:33:00,trios,broken_moon,17,4.0,AetherealTea,wattson,haute_drop,0,0,1,157,138,0,0
30,2023-02-27 09:33:00,trios,broken_moon,17,4.0,ksyron,valkyrie,,0,0,0,15,83,0,0
30,2023-02-27 09:33:00,trios,broken_moon,17,4.0,NiFaLeM,fuse,,0,0,0,-1,106,0,0
31,2023-02-27 09:38:00,trios,broken_moon,21,3.0,AetherealTea,wattson,dire_wolf,1,0,1,216,67,0,0
31,2023-02-27 09:38:00,trios,broken_moon,21,3.0,NiFaLeM,fuse,,0,0,1,36,67,0,0
31,2023-02-27 09:38:00,trios,broken_moon,21,3.0,ksyron,valkyrie,,0,0,0,108,67,0,0
32,2023-02-27 09:41:00,trios,broken_moon,18,3.0,AetherealTea,wattson,kawaii_kitty,0,0,1,258,122,0,0
32,2023-02-27 09:41:00,trios,broken_moon,18,3.0,NiFaLeM,fuse,,0,0,0,18,122,0,0
32,2023-02-27 09:41:00,trios,broken_moon,18,3.0,ksyron,valkyrie,,-1,0,0,144,122,0,0
33,2023-02-27 09:45:00,ranked,worlds_edge,19,3.0,AetherealTea,wattson,lightning_spirit,0,0,0,61,120,0,0
33,2023-02-27 09:45:00,ranked,worlds_edge,19,3.0,ksyron,valkyrie,,0,0,2,184,120,0,0
33,2023-02-27 09:45:00,ranked,worlds_edge,19,3.0,NiFaLeM,fuse,,0,0,0,59,119,0,0
34,2023-02-27 09:49:00,ranked,worlds_edge,13,9.0,AetherealTea,wattson,haute_drop,1,1,2,861,455,1,0
34,2023-02-27 09:49:00,ranked,worlds_edge,13,9.0,NiFaLeM,fuse,,0,4,0,361,304,0,0
34,2023-02-27 09:49:00,ranked,worlds_edge,13,9.0,ksyron,valkyrie,,4,1,4,1215,455,1,0
35,2023-02-27 09:58:00,ranked,worlds_edge,10,7.0,AetherealTea,wattson,electric_camo,0,0,0,526,330,1,0
35,2023-02-27 09:58:00,ranked,worlds_edge,10,7.0,ksyron,valkyrie,,1,0,2,521,331,0,0
35,2023-02-27 09:58:00,ranked,worlds_edge,10,7.0,NiFaLeM,fuse,,0,0,0,77,331,0,0
36,2023-02-27 10:05:00,ranked,storm_point,17,4.0,AetherealTea,wattson,dire_wolf,0,0,1,170,140,1,0
36,2023-02-27 10:05:00,ranked,storm_point,17,4.0,ksyron,valkyrie,,0,0,0,85,140,2,0
36,2023-02-27 10:05:00,ranked,storm_point,17,4.0,NiFaLeM,fuse,,0,0,0,174,140,0,0
37,2023-02-27 10:10:00,ranked,storm_point,9,9.0,AetherealTea,wattson,kawaii_kitty,0,0,0,36,355,0,0
37,2023-02-27 10:10:00,ranked,storm_point,9,9.0,ksyron,valkyrie,,0,0,0,336,503,0,0
37,2023-02-27 10:10:00,ranked,storm_point,9,9.0,NiFaLeM,fuse,,0,0,0,236,503,0,0
38,2023-02-27 10:20:00,trios,worlds_edge,2,19.0,AetherealTea,wattson,lightning_spirit,4,2,4,7,962,0,0
38,2023-02-27 10:20:00,trios,worlds_edge,2,19.0,ksyron,valkyrie,,1,2,1,764,1047,0,0
38,2023-02-27 10:20:00,trios,worlds_edge,2,19.0,NiFaLeM,fuse,,1,1,1,280,958,0,0
39,2023-02-27 10:41:00,trios,worlds_edge,10,5.0,AetherealTea,wattson,haute_drop,2,1,2,405,220,1,0
39,2023-02-27 10:41:00,trios,worlds_edge,10,5.0,ksyron,fuse,,1,1,1,376,221,1,0
39,2023-02-27 10:41:00,trios,worlds_edge,10,5.0,Unknown,,,0,1,0,36,221,0,0
40,2023-02-27 10:46:00,trios,worlds_edge,5,12.0,AetherealTea,wattson,electric_camo,2,3,2,796,657,1,0
40,2023-02-27 10:46:00,trios,worlds_edge,5,12.0,NiFaLeM,fuse,,1,3,1,316,657,0,0
40,2023-02-27 10:46:00,trios,worlds_edge,5,12.0,ksyron,valkyrie,,5,1,5,1041,657,0,0
41,2023-02-27 10:59:00,trios,worlds_edge,16,5.0,AetherealTea,wattson,dire_wolf,0,0,1,226,211,0,0
41,2023-02-27 10:59:00,trios,worlds_edge,16,5.0,ksyron,fuse,,0,0,0,243,211,0,0
41,2023-02-27 10:59:00,trios,worlds_edge,16,5.0,Unknown,,,0,0,0,196,211,0,0
42,2023-02-27 11:04:00,trios,storm_point,4,11.0,AetherealTea,wraith,,1,1,1,360,569,0,0
42,2023-02-27 11:04:00,trios,storm_point,4,11.0,ksyron,catalyst,,3,1,3,559,568,1,0
42,2023-02-27 11:04:00,trios,storm_point,4,11.0,NiFaLeM,fuse,,1,3,1,321,569,0,0
43,2023-02-27 11:15:00,trios,storm_point,16,4.0,AetherealTea,wraith,,0,0,0,198,136,0,0
43,2023-02-27 11:15:00,trios,storm_point,16,4.0,NiFaLeM,fuse,,0,0,1,299,137,0,0
43,2023-02-27 11:15:00,trios,storm_point,16,4.0,ksyron,catalyst,,0,0,0,90,137,0,0
44,2023-02-27 11:19:00,ranked,storm_point,12,8.0,AetherealTea,wattson,kawaii_kitty,3,0,3,540,381,1,0
44,2023-02-27 11:19:00,ranked,storm_point,12,8.0,NiFaLeM,fuse,,0,1,0,136,380,0,0
44,2023-02-27 11:19:00,ranked,storm_point,12,8.0,ksyron,catalyst,,0,0,0,228,306,0,0
45,2023-02-27 11:28:00,ranked,storm_point,14,4.0,AetherealTea,wattson,lightning_spirit,1,2,1,248,159,0,0
45,2023-02-27 11:28:00,ranked,storm_point,14,4.0,ksyron,catalyst,,2,1,2,390,159,0,0
45,2023-02-27 11:28:00,ranked,storm_point,14,4.0,NiFaLeM,fuse,,0,1,0,86,159,0,0
46,2023-02-27 11:32:00,ranked,storm_point,11,7.0,AetherealTea,wattson,haute_drop,0,0,0,13,323,0,0
46,2023-02-27 11:32:00,ranked,storm_point,11,7.0,NiFaLeM,fuse,,0,0,0,106,343,0,0
46,2023-02-27 11:32:00,ranked,storm_point,11,7.0,ksyron,catalyst,,0,0,0,57,343,0,0
47,2023-02-28 09:04:00,,worlds_edge,23,3.0,AetherealTea,wattson,electric_camo,0,0,0,135,107,0,0
47,2023-02-28 09:04:00,,worlds_edge,23,3.0,ksyron,valkyrie,,0,0,0,0,56,0,0
48,2023-02-28 09:08:00,duos,worlds_edge,14,6.0,AetherealTea,wattson,dire_wolf,0,0,0,0,238,0,0
48,2023-02-28 09:08:00,duos,worlds_edge,14,6.0,ksyron,valkyrie,,0,0,0,0,290,0,0
49,2023-02-28 09:17:00,ranked,storm_point,3,18.0,AetherealTea,wattson,kawaii_kitty,3,3,4,797,1043,0,0
49,2023-02-28 09:17:00,ranked,storm_point,3,18.0,H4h4h4ha,octane,,2,0,2,808,1037,2,0
49,2023-02-28 09:17:00,ranked,storm_point,3,18.0,JaceYaYa,loba,,2,2,2,1120,1043,2,0
50,2023-02-28 09:36:00,duos,storm_point,27,2.0,AetherealTea,wattson,lightning_spirit,0,0,0,42,425,0,0
50,2023-02-28 09:36:00,duos,storm_point,27,2.0,NiFaLeM,fuse,,0,0,0,103,425,0,0
51,2023-02-28 09:39:00,duos,storm_point,6,13.0,AetherealTea,wattson,haute_drop,0,0,0,67,70,0,0
51,2023-02-28 09:39:00,duos,storm_point,6,13.0,NiFaLeM,fuse,,0,0,1,167,70,0,0
52,2023-02-28 09:52:00,duos,storm_point,31,2.0,AetherealTea,wraith,,0,0,0,61,52,0,0
52,2023-02-28 09:52:00,duos,storm_point,31,2.0,NiFaLem,fuse,,0,0,0,32,53,0,0
53,2023-02-28 09:55:00,duos,storm_point,14,6.0,AetherealTea,wraith,,0,0,0,48,303,0,0
53,2023-02-28 09:55:00,duos,storm_point,14,6.0,NiFaLeM,fuse,,0,0,0,36,303,0,0
54,2023-02-28 22:52:00,ranked,broken_moon,10,11.0,AetherealTea,wattson,dire_wolf,1,0,2,364,605,0,0
54,2023-02-28 22:52:00,ranked,broken_moon,10,11.0,Element 115,horizon,,0,1,0,313,605,0,0
54,2023-02-28 22:52:00,ranked,broken_moon,10,11.0,hindsight,pathfinder,,1,1,1,541,605,0,0
55,2023-02-28 23:04:00,ranked,broken_moon,1,18.0,AetherealTea,wattson,kawaii_kitty,5,0,5,532,984,2,0
55,2023-02-28 23:04:00,ranked,broken_moon,1,18.0,virtified,pathfinder,,4,4,4,1599,984,1,0
55,2023-02-28 23:04:00,ranked,broken_moon,1,18.0,XxxmikinxxX,vantage,,1,4,1,1060,984,1,0
56,2023-02-28 23:23:00,ranked,broken_moon,3,21.0,AetherealTea,wattson,,1,0,1,568,1105,0,0
56,2023-02-28 23:23:00,ranked,broken_moon,3,21.0,Matthew,horizon,,1,1,1,764,1198,1,0
56,2023-02-28 23:23:00,ranked,broken_moon,3,21.0,chevyghost45¢,lifeline,,0,0,0,633,1229,1,0
57,2023-02-28 23:44:00,ranked,broken_moon,12,9.0,AetherealTea,wattson,haute_drop,0,2,0,293,407,1,0
57,2023-02-28 23:44:00,ranked,broken_moon,12,9.0,TRIPTEX,wraith,,3,0,3,562,407,1,0
57,2023-02-28 23:44:00,ranked,broken_moon,12,9.0,Matthew,horizon,,0,1,2,340,407,0,0
58,2023-02-28 23:53:00,ranked,broken_moon,6,11.0,AetherealTea,wattson,,3,0,3,726,517,1,0
58,2023-02-28 23:53:00,ranked,broken_moon,6,11.0,TrezrtheGame,bloodhound,,1,0,1,309,547,0,0
58,2023-02-28 23:53:00,ranked,broken_moon,6,11.0,masterpoyesh,horizon,,2,3,3,751,547,1,0
59,2023-03-01 00:05:00,ranked,broken_moon,3,16.0,AetherealTea,wattson,dire_wolf,2,3,2,920,890,0,0
59,2023-03-01 00:05:00,ranked,broken_moon,3,16.0,DAVID_ONE.1,ash,,2,2,2,489,890,0,0
59,2023-03-01 00:05:00,ranked,broken_moon,3,16.0,Xraigeki,loba,,2,1,3,486,890,0,0
60,2023-03-01 12:54:00,duos,storm_point,13,6.0,AetherealTea,wattson,lightning_spirit,0,0,0,155,339,0,0
60,2023-03-01 12:54:00,duos,storm_point,13,6.0,ksyron,valkyrie,,0,0,0,196,339,0,0
61,2023-03-01 13:01:00,duos,broken_moon,30,2.0,AetherealTea,wraith,,0,0,0,36,49,0,0
61,2023-03-01 13:01:00,duos,broken_moon,30,2.0,ksyran,valkyrie,,0,0,1,132,49,0,0
62,2023-03-01 13:03:00,duos,broken_moon,5,12.0,AetherealTea,wraith,,3,0,3,558,617,1,0
62,2023-03-01 13:03:00,duos,broken_moon,5,12.0,ksyron,valkyrie,,1,2,1,485,607,1,0
63,2023-03-01 13:15:00,duos,broken_moon,13,5.0,AetherealTea,wraith,,0,0,0,90,265,0,0
63,2023-03-01 13:15:00,duos,broken_moon,13,5.0,ksyron,catalyst,,0,0,0,3,265,0,0
64,2023-03-01 13:21:00,duos,broken_moon,8,10.0,AetherealTea,wraith,,2,2,2,2,547,0,0
64,2023-03-01 13:21:00,duos,broken_moon,8,10.0,ksyron,catalyst,,3,1,3,607,547,0,0
65,2023-03-01 13:35:00,duos,broken_moon,1,21.0,AetherealTea,wraith,,9,5,3,2042,1180,2,0
65,2023-03-01 13:35:00,duos,broken_moon,1,21.0,ksyron,valkyrie,,8,4,8,2276,1180,1,0
66,2023-03-01 13:57:00,ranked,worlds_edge,19,3.0,AetherealTea,wattson,haute_drop,0,0,0,0,86,0,0
66,2023-03-01 13:57:00,ranked,worlds_edge,19,3.0,IM BANNED,bangalore,,1,0,1,220,102,0,0
66,2023-03-01 13:57:00,ranked,worlds_edge,19,3.0,ksyron,valkyrie,,0,0,0,170,103,0,0
67,2023-03-01 14:01:00,ranked,worlds_edge,4,14.0,AetherealTea,wattson,electric_camo,4,0,6,1374,778,0,0
67,2023-03-01 14:01:00,ranked,worlds_edge,4,14.0,Wxffle,wraith,,1,2,1,237,726,0,0
67,2023-03-01 14:01:00,ranked,worlds_edge,4,14.0,ksyron,valkyrie,,1,4,1,804,119,0,0
68,2023-03-02 09:21:00,duos,worlds_edge,22,2.0,AetherealTea,wattson,kawaii_kitty,0,1,0,12,84,0,0
68,2023-03-02 09:21:00,duos,worlds_edge,22,2.0,ksyron,valkyrie,,1,0,1,184,84,1,0
69,2023-03-02 09:24:00,duos,worlds_edge,16,4.0,AetherealTea,wattson,lightning_spirit,1,2,1,394,183,0,0
69,2023-03-02 09:24:00,duos,worlds_edge,16,4.0,ksyron,valkyrie,,2,0,2,422,183,1,0
70,2023-03-02 09:43:00,trios,worlds_edge,17,2.0,AetherealTea,wattson,electric_camo,2,0,2,343,98,0,0
70,2023-03-02 09:43:00,trios,worlds_edge,17,2.0,ksyron,valkyrie,,1,0,1,164,98,1,0
70,2023-03-02 09:43:00,trios,worlds_edge,17,2.0,NiFaLeM,fuse,,0,1,0,73,98,0,0
71,2023-03-02 09:46:00,ranked,worlds_edge,4,14.0,AetherealTea,wattson,dire_wolf,4,3,5,1126,754,3,0
71,2023-03-02 09:46:00,ranked,worlds_edge,4,14.0,NiFaLeM,fuse,,4,1,4,865,753,0,0
71,2023-03-02 09:46:00,ranked,worlds_edge,4,14.0,ksyron,valkyrie,,3,4,3,1307,746,1,0
72,2023-03-02 10:01:00,ranked,storm_point,9,8.0,AetherealTea,wattson,kawaii_kitty,3,0,3,700,403,0,0
72,2023-03-02 10:01:00,ranked,storm_point,9,8.0,NiFaLeM,fuse,,1,0,2,483,403,1,0
72,2023-03-02 10:01:00,ranked,storm_point,9,8.0,ksyron,valkyrie,,0,3,0,544,403,0,0
73,2023-03-02 10:10:00,ranked,storm_point,20,2.0,AetherealTea,wattson,lightning_spirit,0,0,0,169,-1,0,0
73,2023-03-02 10:10:00,ranked,storm_point,20,2.0,ksyron,valkyrie,,0,0,0,44,-1,0,0
73,2023-03-02 10:10:00,ranked,storm_point,20,2.0,NiFaLeM,fuse,,0,0,0,40,-1,0,0
74,2023-03-02 10:12:00,ranked,storm_point,8,10.0,AetherealTea,wattson,haute_drop,2,1,2,408,481,0,0
74,2023-03-02 10:12:00,ranked,storm_point,8,10.0,ksyron,valkyrie,,2,2,2,677,481,0,0
